Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1699566.184489756590	-74358724.707918107510	116186009.442685022950	50375319.398779250681	-25.220675775282	-13.425225500349	-5.929672945553
1699566.184497662354	-74358724.708117499948	116186009.442578881979	50375319.398732371628	-25.220675775270	-13.425225500367	-5.929672945562
1699566.184513473650	-74358724.708516269922	116186009.442366614938	50375319.398638613522	-25.220675775246	-13.425225500404	-5.929672945578
1699566.184545096476	-74358724.709313824773	116186009.441942065954	50375319.398451097310	-25.220675775198	-13.425225500476	-5.929672945610
1699566.184608342126	-74358724.710908919573	116186009.441092982888	50375319.398076072335	-25.220675775103	-13.425225500622	-5.929672945675
1699566.184734833194	-74358724.714099109173	116186009.439394816756	50375319.397326022387	-25.220675774914	-13.425225500913	-5.929672945804
1699566.184987815330	-74358724.720479488373	116186009.435998469591	50375319.395825922489	-25.220675774534	-13.425225501496	-5.929672946062
1699566.185493779834	-74358724.733240246773	116186009.429205790162	50375319.392825715244	-25.220675773774	-13.425225502660	-5.929672946579
1699566.186505708611	-74358724.758761778474	116186009.415620416403	50375319.386825308204	-25.220675772255	-13.425225504990	-5.929672947614
1699566.188529566396	-74358724.809804841876	116186009.388449668884	50375319.374824494123	-25.220675769217	-13.425225509649	-5.929672949682
1699566.192577281734	-74358724.911890953779	116186009.334108173847	50375319.350822865963	-25.220675763140	-13.425225518967	-5.929672953818
1699566.200672712643	-74358725.116063192487	116186009.225425183773	50375319.302819609642	-25.220675750987	-13.425225537603	-5.929672962090
1699566.216863574227	-74358725.524407669902	116186009.008059218526	50375319.206813097000	-25.220675726681	-13.425225574875	-5.929672978635
1699566.249245297397	-74358726.341096609831	116186008.573327273130	50375319.014800064266	-25.220675678068	-13.425225649418	-5.929673011725
1699566.314008743968	-74358727.974474489689	116186007.703863382339	50375318.630773998797	-25.220675580842	-13.425225798506	-5.929673077905
1699566.443535636878	-74358731.241230219603	116186005.964935570955	50375317.862721860409	-25.220675386392	-13.425226096681	-5.929673210264
1699566.702589422697	-74358737.774741604924	116186002.487079843879	50375316.326617531478	-25.220674997490	-13.425226693032	-5.929673474982
1699567.220696994569	-74358750.841764092445	116185995.531367927790	50375313.254408665001	-25.220674219689	-13.425227885734	-5.929674004419
1699568.256912138313	-74358776.975807845592	116185981.619942247868	50375307.109990112484	-25.220672664092	-13.425230271141	-5.929675063295
1699570.329342425568	-74358829.243890523911	116185953.797083482146	50375294.821149721742	-25.220669552922	-13.425235041972	-5.929677181048
1699574.474203000311	-74358933.780036523938	116185898.151336282492	50375270.243455775082	-25.220663330673	-13.425244583694	-5.929681416569
