Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1699566.184489756590	-74356734.367751285434	116182833.856565371156	50373625.349768847227	-25.215162408266	-13.408364247693	-5.923765163872
1699566.184497662354	-74356734.367950633168	116182833.856459364295	50373625.349722012877	-25.215162408254	-13.408364247712	-5.923765163880
1699566.184513473650	-74356734.368349313736	116182833.856247365475	50373625.349628351629	-25.215162408229	-13.408364247749	-5.923765163896
1699566.184545096476	-74356734.369146689773	116182833.855823352933	50373625.349441029131	-25.215162408181	-13.408364247824	-5.923765163929
1699566.184608342126	-74356734.370741441846	116182833.854975327849	50373625.349066376686	-25.215162408083	-13.408364247973	-5.923765163995
1699566.184734833194	-74356734.373930931091	116182833.853279292583	50373625.348317071795	-25.215162407889	-13.408364248272	-5.923765164128
1699566.184987815330	-74356734.380309924483	116182833.849887222052	50373625.346818462014	-25.215162407499	-13.408364248870	-5.923765164392
1699566.185493779834	-74356734.393067896366	116182833.843103066087	50373625.343821249902	-25.215162406721	-13.408364250064	-5.923765164920
1699566.186505708611	-74356734.418583840132	116182833.829534754157	50373625.337826818228	-25.215162405164	-13.408364252454	-5.923765165977
1699566.188529566396	-74356734.469615742564	116182833.802398130298	50373625.325837962329	-25.215162402049	-13.408364257234	-5.923765168090
1699566.192577281734	-74356734.571679547429	116182833.748124882579	50373625.301860243082	-25.215162395820	-13.408364266794	-5.923765172316
1699566.200672712643	-74356734.775807157159	116182833.639578402042	50373625.253904812038	-25.215162383362	-13.408364285913	-5.923765180769
1699566.216863574227	-74356735.184062361717	116182833.422485426068	50373625.157993949950	-25.215162358447	-13.408364324152	-5.923765197674
1699566.249245297397	-74356736.000572770834	116182832.988299489021	50373624.966172225773	-25.215162308615	-13.408364400629	-5.923765231485
1699566.314008743968	-74356737.633593589067	116182832.119927600026	50373624.582528769970	-25.215162208953	-13.408364553583	-5.923765299107
1699566.443535636878	-74356740.899635195732	116182830.383183777332	50373623.815241850913	-25.215162009628	-13.408364859491	-5.923765434350
1699566.702589422697	-74356747.431718319654	116182826.909696012735	50373622.280667953193	-25.215161610978	-13.408365471308	-5.923765704836
1699567.220696994569	-74356760.495884269476	116182819.962720021605	50373619.211519949138	-25.215160813680	-13.408366694943	-5.923766245809
1699568.256912138313	-74356786.624214932323	116182806.068766131997	50373613.073223099113	-25.215159219090	-13.408369142217	-5.923767327755
1699570.329342425568	-74356838.880871295929	116182778.280850738287	50373600.796626031399	-25.215156029932	-13.408374036777	-5.923769491651
1699574.474203000311	-74356943.394164189696	116182722.704989537597	50373576.243418440223	-25.215149651708	-13.408383825956	-5.923773819454
1699582.763924149796	-74357152.420670673251	116182611.553145408630	50373527.136949449778	-25.215136895627	-13.408403404539	-5.923782475109
1699599.343366448767	-74357570.473366409540	116182389.248970240355	50373428.923796206713	-25.215111384930	-13.408442562609	-5.923799786611
1699632.502251046710	-74358406.577489107847	116181944.638672187924	50373232.496628664434	-25.215060369402	-13.408520882368	-5.923834410381
1699698.820020242594	-74360078.780660316348	116181055.410284683108	50372839.638849236071	-25.214958361800	-13.408677536367	-5.923903660992
1699776.141391720157	-74362028.431225821376	116180018.625885859132	50372381.591372005641	-25.214839468335	-13.408860207157	-5.923984407003
1699853.462763197720	-74363978.072599962354	116178981.827361673117	50371923.537651166320	-25.214720617368	-13.409042904212	-5.924065158587
1699930.784134675283	-74365927.704786032438	116177945.014710083604	50371465.477686293423	-25.214601808890	-13.409225627543	-5.924145915751
1700008.105506152846	-74367877.327787309885	116176908.187929049134	50371007.411476947367	-25.214483042892	-13.409408377163	-5.924226678498
1700085.426877630409	-74369826.941607072949	116175871.347016558051	50370549.339022696018	-25.214364319366	-13.409591153082	-5.924307446835
1700162.748249107972	-74371776.546248614788	116174834.491970553994	50370091.260323114693	-25.214245638303	-13.409773955314	-5.924388220766
1700240.069620585535	-74373726.141715213656	116173797.622789025307	50369633.175377763808	-25.214126999694	-13.409956783868	-5.924469000296
1700317.390992063098	-74375675.728010147810	116172760.739469915628	50369175.084186211228	-25.214008403531	-13.410139638758	-5.924549785431
1700339.398204531521	-74376230.617678925395	116172465.619104936719	50369044.701107285917	-25.213974656444	-13.410191687741	-5.924572779525
1700339.398204531521	-74376230.617678940296	116172465.619105190039	50369044.701107390225	-25.213959138647	-13.410402157732	-5.924652107832
1700339.398212437285	-74376230.617878273129	116172465.618999168277	50369044.701060548425	-25.213959138635	-13.410402157751	-5.924652107841
1700339.398228248581	-74376230.618276938796	116172465.618787124753	50369044.700966872275	-25.213959138611	-13.410402157788	-5.924652107857
1700339.398259871406	-74376230.619074270129	116172465.618363052607	50369044.700779519975	-25.213959138563	-13.410402157863	-5.924652107890
1700339.398323117057	-74376230.620668947697	116172465.617514908314	50369044.700404815376	-25.213959138466	-13.410402158013	-5.924652107956
1700339.398449608125	-74376230.623858287930	116172465.615818604827	50369044.699655398726	-25.213959138272	-13.410402158312	-5.924652108088
1700339.398702590261	-74376230.630236968398	116172465.612426012754	50369044.698156565428	-25.213959137884	-13.410402158910	-5.924652108353
1700339.399208554765	-74376230.642994329333	116172465.605640828609	50369044.695158898830	-25.213959137108	-13.410402160107	-5.924652108881
1700339.400220483541	-74376230.668509066105	116172465.592070460320	50369044.689163573086	-25.213959135556	-13.410402162500	-5.924652109939
1700339.402244341327	-74376230.719538524747	116172465.564929708838	50369044.677172921598	-25.213959132453	-13.410402167287	-5.924652112053
1700339.406292056665	-74376230.821597456932	116172465.510648220778	50369044.653191618621	-25.213959126246	-13.410402176860	-5.924652116283
1700339.414387487574	-74376231.025715321302	116172465.402085244656	50369044.605229005218	-25.213959113833	-13.410402196007	-5.924652124741
1700339.430578349158	-74376231.433951050043	116172465.184959277511	50369044.509303785861	-25.213959089006	-13.410402234301	-5.924652141658
1700339.462960072327	-74376232.250422492623	116172464.750707343221	50369044.317453339696	-25.213959039353	-13.410402310888	-5.924652175493
1700339.527723518899	-74376233.883365377784	116172463.882203459740	50369043.933752439916	-25.213958940046	-13.410402464062	-5.924652243161
1700339.657250411808	-74376237.149251118302	116172462.145195677876	50369043.166350632906	-25.213958741433	-13.410402770411	-5.924652378498
1700339.916304197628	-74376243.681022539735	116172458.671179994941	50369041.631546966732	-25.213958344206	-13.410403383109	-5.924652649171
1700340.434411769500	-74376256.744565069675	116172451.723148137331	50369038.561939425766	-25.213957549754	-13.410404608506	-5.924653190518
1700341.470626913244	-74376282.871648892760	116172437.827082529664	50369032.422723509371	-25.213955960856	-13.410407059302	-5.924654273213
1700343.543057200499	-74376335.125811591744	116172410.034943699837	50369020.144288308918	-25.213952783084	-13.410411960910	-5.924656438606
1700347.687917775242	-74376439.634117245674	116172354.450635552406	50368995.587404444814	-25.213946427630	-13.410421764183	-5.924660769404
1700355.977638924727	-74376648.650649517775	116172243.281897366047	50368946.473582856357	-25.213933717088	-13.410441370956	-5.924669431048
1700372.557081223698	-74377066.683397978544	116172020.943933382630	50368848.245724275708	-25.213908297466	-13.410480585410	-5.924686754530
1700405.715965821641	-74377902.747630670667	116171576.266054898500	50368651.789145469666	-25.213857464074	-13.410559017956	-5.924721402270
1700472.033735017525	-74379574.871039956808	116170686.902495309711	50368258.872541122139	-25.213755820688	-13.410715897601	-5.924790700851
1700549.355106495088	-74381524.428639754653	116169649.960477426648	50367800.756474591792	-25.213637351775	-13.410898831597	-5.924871502844
1700626.676477972651	-74383473.977081000805	116168613.004313811660	50367342.634160123765	-25.213518925258	-13.411081791989	-5.924952310468
1700703.997849450214	-74385423.516366988420	116167576.034002438188	50366884.505597278476	-25.213400541127	-13.411264778789	-5.925033123729
1700781.319220927777	-74387373.046500995755	116166539.049541249871	50366426.370785623789	-25.213282199375	-13.411447792008	-5.925113942631
1700858.640592405340	-74389322.567486286163	116165502.050928205252	50365968.229724720120	-25.213163899991	-13.411630831658	-5.925194767180
1700935.961963882903	-74391272.079326152802	116164465.038161262870	50365510.082414135337	-25.213045642968	-13.411813897751	-5.925275597380
1701013.283335360466	-74393221.582023859024	116163428.011238381267	50365051.928853429854	-25.212927428297	-13.411996990297	-5.925356433237
1701090.604706838029	-74395171.075582683086	116162390.970157504082	50364593.769042164087	-25.212809255969	-13.412180109309	-5.925437274756
1701112.611919306219	-74395725.938862875104	116162095.804886624217	50364463.366431899369	-25.212775629495	-13.412232233491	-5.925460284909
1701112.611919306219	-74395725.938862919807	116162095.804887041450	50364463.366432078183	-25.212743630402	-13.412792688302	-5.925670826080
1701112.611927211983	-74395725.939062237740	116162095.804781004786	50364463.366385228932	-25.212743630390	-13.412792688321	-5.925670826088
1701112.611943023279	-74395725.939460888505	116162095.804568931460	50364463.366291537881	-25.212743630366	-13.412792688358	-5.925670826105
1701112.611974646104	-74395725.940258190036	116162095.804144784808	50364463.366104148328	-25.212743630317	-13.412792688433	-5.925670826138
1701112.612037891755	-74395725.941852778196	116162095.803296491504	50364463.365729376674	-25.212743630221	-13.412792688583	-5.925670826204
1701112.612164382823	-74395725.945041969419	116162095.801599889994	50364463.364979833364	-25.212743630027	-13.412792688882	-5.925670826336
1701112.612417364959	-74395725.951420351863	116162095.798206686974	50364463.363480746746	-25.212743629641	-13.412792689482	-5.925670826601
1701112.612923329463	-74395725.964177101851	116162095.791420295835	50364463.360482566059	-25.212743628868	-13.412792690680	-5.925670827130
1701112.613935258240	-74395725.989690601826	116162095.777847498655	50364463.354486212134	-25.212743627322	-13.412792693077	-5.925670828188
1701112.615959116025	-74395726.040717601776	116162095.750701919198	50364463.342493496835	-25.212743624229	-13.412792697870	-5.925670830304
1701112.620006831363	-74395726.142771616578	116162095.696410745382	50364463.318508066237	-25.212743618045	-13.412792707458	-5.925670834536
1701112.628102262272	-74395726.346879631281	116162095.587828412652	50364463.270537205040	-25.212743605676	-13.412792726632	-5.925670843001
1701112.644293123856	-74395726.755095675588	116162095.370663747191	50364463.174595490098	-25.212743580938	-13.412792764981	-5.925670859929
1701112.676674847025	-74395727.571527764201	116162094.936334401369	50364462.982712052763	-25.212743531462	-13.412792841679	-5.925670893787
