Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
1699566.184489756590	-74358334.138446912169	116185435.654842525721	50374851.718553692102	-25.202895807142	-13.434335059696	-5.934531280675
1699566.184497662354	-74358334.138646155596	116185435.654736325145	50374851.718506775796	-25.202895807130	-13.434335059715	-5.934531280683
1699566.184513473650	-74358334.139044642448	116185435.654523909092	50374851.718412943184	-25.202895807106	-13.434335059751	-5.934531280700
1699566.184545096476	-74358334.139841631055	116185435.654099076986	50374851.718225277960	-25.202895807059	-13.434335059824	-5.934531280732
1699566.184608342126	-74358334.141435608268	116185435.653249412775	50374851.717849947512	-25.202895806963	-13.434335059971	-5.934531280797
1699566.184734833194	-74358334.144623547792	116185435.651550084352	50374851.717099279165	-25.202895806772	-13.434335060264	-5.934531280927
1699566.184987815330	-74358334.150999426842	116185435.648151442409	50374851.715597949922	-25.202895806391	-13.434335060849	-5.934531281186
1699566.185493779834	-74358334.163751199841	116185435.641354143620	50374851.712595291436	-25.202895805627	-13.434335062020	-5.934531281705
1699566.186505708611	-74358334.189254730940	116185435.627759546041	50374851.706589967012	-25.202895804100	-13.434335064362	-5.934531282742
1699566.188529566396	-74358334.240261808038	116185435.600570365787	50374851.694579318166	-25.202895801047	-13.434335069046	-5.934531284817
1699566.192577281734	-74358334.342275962234	116185435.546192005277	50374851.670558027923	-25.202895794940	-13.434335078415	-5.934531288966
1699566.200672712643	-74358334.546304255724	116185435.437435269356	50374851.622515439987	-25.202895782725	-13.434335097152	-5.934531297265
1699566.216863574227	-74358334.954360857606	116185435.219921812415	50374851.526430264115	-25.202895758296	-13.434335134626	-5.934531313862
1699566.249245297397	-74358335.770474046469	116185434.784894883633	50374851.334259912372	-25.202895709438	-13.434335209573	-5.934531347057
1699566.314008743968	-74358337.402700424194	116185433.914841026068	50374850.949919208884	-25.202895611722	-13.434335359468	-5.934531413447
1699566.443535636878	-74358340.667153179646	116185432.174733281136	50374850.181237787008	-25.202895416289	-13.434335659259	-5.934531546227
1699566.702589422697	-74358347.196058601141	116185428.694517686963	50374848.643874891102	-25.202895025425	-13.434336258840	-5.934531811788
1699567.220696994569	-74358360.253869146109	116185421.734086036682	50374845.569148883224	-25.202894243698	-13.434337458004	-5.934532342909
1699568.256912138313	-74358386.369489014149	116185407.813220873475	50374839.419696047902	-25.202892680250	-13.434339856335	-5.934533405151
1699570.329342425568	-74358438.600723892450	116185379.971483096480	50374827.120787076652	-25.202889553376	-13.434344653013	-5.934535529640
